unix_time,pm2.5,Car,Motor
2022-04-19 19:50:00,27.75,156,105
2022-04-19 20:00:00,28.55,120,116
2022-04-19 20:10:00,30.35,61,172
2022-04-19 20:20:00,33.333333333333336,219,111
2022-04-19 20:30:00,34.93333333333333,139,84
2022-04-19 20:40:00,33.622950819672134,131,140
2022-04-19 20:50:00,32.559322033898304,79,121
2022-04-19 21:00:00,34.45,81,141
2022-04-19 21:10:00,31.966666666666665,92,182
2022-04-19 21:20:00,30.016666666666666,77,152
2022-04-19 21:30:00,29.366666666666667,65,141
2022-04-19 21:40:00,30.25,103,119
2022-04-19 21:50:00,32.6,128,132
2022-04-19 22:00:00,32.63333333333333,91,129
2022-04-19 22:10:00,35.3,111,161
2022-04-19 22:20:00,33.56666666666667,109,163
2022-04-19 22:30:00,33.6,140,117
2022-04-19 22:40:00,32.15,95,135
2022-04-19 22:50:00,34.53333333333333,90,128
2022-04-19 23:00:00,38.166666666666664,138,132
2022-04-19 23:10:00,31.066666666666666,129,132
2022-04-19 23:20:00,31.9,86,121
2022-04-19 23:30:00,29.85,116,110
2022-04-19 23:40:00,28.9,105,101
2022-04-19 23:50:00,29.55,102,108
2022-04-20 00:00:00,30.672131147540984,91,103
2022-04-20 00:00:00,30.672131147540984,87,107
2022-04-20 00:10:00,36.71186440677966,88,118
2022-04-20 00:10:00,36.71186440677966,102,79
2022-04-20 00:20:00,33.166666666666664,127,121
2022-04-20 00:20:00,33.166666666666664,48,87
2022-04-20 00:30:00,30.383333333333333,113,111
2022-04-20 00:30:00,30.383333333333333,57,82
2022-04-20 00:40:00,32.7,125,146
2022-04-20 00:40:00,32.7,87,77
2022-04-20 00:50:00,27.15,116,135
2022-04-20 00:50:00,27.15,50,40
2022-04-20 01:00:00,25.033333333333335,136,94
2022-04-20 01:00:00,25.033333333333335,66,56
2022-04-20 01:10:00,24.516666666666666,99,114
2022-04-20 01:10:00,24.516666666666666,65,81
2022-04-20 01:20:00,26.5,78,105
2022-04-20 01:20:00,26.5,65,59
2022-04-20 01:30:00,29.583333333333332,84,108
2022-04-20 01:30:00,29.583333333333332,78,75
2022-04-20 01:40:00,31.483333333333334,131,131
2022-04-20 01:40:00,31.483333333333334,84,75
2022-04-20 01:50:00,31.05,86,104
2022-04-20 01:50:00,31.05,54,68
2022-04-20 02:00:00,35.416666666666664,130,97
2022-04-20 02:00:00,35.416666666666664,68,76
2022-04-20 02:10:00,36.333333333333336,103,82
2022-04-20 02:10:00,36.333333333333336,83,100
2022-04-20 02:20:00,35.0,63,86
2022-04-20 02:30:00,34.25423728813559,95,71
2022-04-20 02:40:00,38.25,60,70
2022-04-20 02:50:00,35.21666666666667,76,76
2022-04-20 03:00:00,35.540983606557376,83,103
2022-04-20 03:10:00,37.91525423728814,68,93
2022-04-20 03:20:00,40.233333333333334,76,79
2022-04-20 03:30:00,40.31666666666667,74,67
2022-04-20 03:40:00,39.666666666666664,79,94
2022-04-20 03:50:00,40.46666666666667,51,87
2022-04-20 04:00:00,40.6,91,116
2022-04-20 04:10:00,44.86666666666667,115,101
2022-04-20 04:20:00,46.65,330,85
2022-04-20 04:30:00,46.3,95,163
2022-04-20 04:40:00,46.7,151,135
2022-04-20 04:50:00,52.032786885245905,173,117
2022-04-20 05:00:00,52.55,171,135
2022-04-20 05:10:00,46.779661016949156,237,173
2022-04-20 05:20:00,46.583333333333336,185,157
2022-04-20 05:30:00,55.721311475409834,222,229
2022-04-20 05:40:00,53.833333333333336,264,162
2022-04-20 05:50:00,51.389830508474574,262,186
2022-04-20 06:00:00,61.8,241,220
2022-04-20 06:10:00,57.96666666666667,174,215
2022-04-20 06:20:00,61.945454545454545,177,244
2022-04-20 06:30:00,60.976190476190474,176,216
2022-04-20 06:40:00,61.81349206349206,172,212
2022-04-20 06:50:00,62.65079365079365,208,224
2022-04-20 07:00:00,63.48809523809524,193,204
2022-04-20 07:10:00,64.32539682539682,151,213
2022-04-20 07:20:00,65.16269841269842,130,237
2022-04-20 07:30:00,66.0,169,216
2022-04-20 07:40:00,64.95238095238095,144,217
2022-04-20 07:50:00,62.193548387096776,134,213
2022-04-20 08:00:00,67.0,110,219
2022-04-20 08:10:00,60.520833333333336,128,144
2022-04-20 08:20:00,53.81666666666667,88,171
2022-04-20 08:30:00,47.377049180327866,96,198
2022-04-20 08:40:00,47.847457627118644,143,152
2022-04-20 08:50:00,48.15,146,203
2022-04-20 09:00:00,44.43333333333333,85,186
2022-04-20 09:10:00,51.766666666666666,91,168
2022-04-20 09:20:00,49.516666666666666,86,181
2022-04-20 09:30:00,46.516666666666666,77,129
2022-04-20 09:40:00,43.583333333333336,89,93
2022-04-20 09:50:00,47.36666666666667,103,118
2022-04-20 10:00:00,48.032786885245905,57,146
2022-04-20 10:10:00,46.67796610169491,66,133
2022-04-20 10:20:00,44.666666666666664,104,61
2022-04-20 10:30:00,45.266666666666666,139,124
2022-04-20 10:40:00,45.03333333333333,75,66
2022-04-20 10:50:00,39.96666666666667,97,54
2022-04-20 11:00:00,37.43333333333333,63,66
2022-04-20 11:10:00,38.1,78,82
2022-04-20 11:20:00,38.95,65,59
2022-04-20 11:30:00,38.622950819672134,48,62
2022-04-20 11:40:00,39.25423728813559,48,46
2022-04-20 11:50:00,39.05,69,58
2022-04-20 12:00:00,39.63333333333333,43,59
2022-04-20 12:10:00,39.13333333333333,45,32
2022-04-20 12:20:00,40.53333333333333,58,41
2022-04-20 12:30:00,40.06666666666667,54,50
2022-04-20 12:40:00,41.46666666666667,45,65
2022-04-20 12:50:00,41.1,35,72
2022-04-20 13:00:00,41.6,45,62
2022-04-20 13:10:00,41.96666666666667,89,88
2022-04-20 13:20:00,42.233333333333334,96,106
2022-04-20 13:30:00,45.35,140,89
2022-04-20 13:40:00,44.56666666666667,108,130
2022-04-20 13:50:00,43.06666666666667,158,149
2022-04-20 14:00:00,37.38333333333333,106,198
2022-04-20 14:10:00,33.78333333333333,122,151
2022-04-20 14:20:00,37.266666666666666,164,149
2022-04-20 14:30:00,41.67213114754098,155,115
2022-04-20 14:40:00,36.08474576271186,126,85
2022-04-20 14:50:00,34.766666666666666,167,97
